TIMESTAMP   BTC-CANDLE-MAX-01-HS-1   BTC-CANDLE-MIN-01-HS-1   BTC-CANDLE-CLOSE-01-HS-1   BTC-CANDLE-OPEN-01-HS-1   BTC-VOLUME-BUY-01-HS-1   BTC-RESISTANCE-RESISTANCE1RATE-01-HS-1   BTC-SUPPORT-SUPPORT1RATE-01-HS-1   BTC-SUPPORT-SUPPORT4RATE-01-HS-1   BTC-SUPPORT-SUPPORT5RATE-01-HS-1
1664582400000   19484   19351.02   19402.88   19422.61   4325.824390000001   0   0   0   0
1664586000000   19431.97   19365.84   19423.84   19401.84   3156.04253   0   0   0   0
1664589600000   19436   19384.41   19413.79   19423.06   2886.91766   0   0   0   0
1664593200000   19438.75   19361.05   19416.05   19413.96   2930.74606   0   0   0   0
1664596800000   19423.63   19370.7   19407.43   19416.05   2979.4675850000003   19438.75   19361.05   0   0
1664600400000   19418.88   19270.59   19317.92   19407.43   6210.008590000001   19438.75   0   0   0
1664604000000   19324.94   19266.26   19292.82   19316.82   3500.00598   19438.75   0   0   0
1664607600000   19343.03   19258.53   19309.84   19293.49   3953.5914   19438.75   0   0   0
1664611200000   19349.31   19302.64   19335.03   19309.84   2939.3288150000003   19438.75   19258.53   0   0
1664614800000   19367.98   19301.11   19329.5   19335.03   2531.8924349999998   19438.75   19258.53   0   0
1664618400000   19365.39   19284   19327.95   19329.5   3226.272795   19367.98   19258.53   0   0
1664622000000   19347.76   19159.42   19312.04   19329   5703.229870000002   19367.98   0   0   0
1664625600000   19314   19240.08   19296.57   19312.04   3684.1337149999995   19367.98   19159.42   0   0
1664629200000   19400.02   19277.08   19332.38   19295.6   4864.516169999999   19438.75   19159.42   0   0
1664632800000   19346.53   19288   19321.72   19331.95   3546.8993900000005   19400.02   19159.42   0   0
1664636400000   19363.72   19304.4   19330.95   19321.7   2587.380655   19400.02   19159.42   0   0
1664640000000   19353.81   19244.29   19291.16   19332.42   4521.48417   19363.72   19159.42   0   0
1664643600000   19317.06   19245.42   19277.7   19291.72   3232.4269050000003   19363.72   19244.29   0   0
1664647200000   19310   19206.63   19298.73   19276.83   3318.768890000002   19363.72   19159.42   0   0
1664650800000   19328   19212.95   19266.15   19298.73   3395.5853850000003   19363.72   19206.63   0   0
1664654400000   19281.4   19200   19250.25   19266.15   2973.8391500000007   19328   19206.63   0   0
1664658000000   19319.87   19244.58   19288.42   19250.95   1382.0850649999998   19328   19206.63   0   0
1664661600000   19338.94   19270   19324.28   19288.42   2758.0543450000005   19328   19206.63   0   0
1664665200000   19342.63   19288.58   19310.95   19325.32   2204.0678449999996   19328   19206.63   0   0
