id,status,assignedTimestamp,testedByProfile
1,Tested,1664539585939,caoHenriques
2,Tested,1664539594993,caoHenriques
3,Tested,1664626057494,caoHenriques
4,Tested,1664626131464,caoHenriques
5,Tested,1664539630622,caoHenriques
6,Tested,1664539649777,quantum8
7,Tested,1664539695182,caoHenriques
8,Tested,1664539804119,theblockchainarborist
9,Tested,1664540175317,theblockchainarborist
10,Tested,1664559619468,tigers40
11,Tested,1664559629965,tigers40
12,Tested,1664559640165,tigers40
13,Tested,1664540263506,JustOneNerd
14,Tested,1664540279205,JustOneNerd
15,Tested,1664559930078,tigers40
16,Tested,1664559903968,tigers40
17,Tested,1664559916099,tigers40
18,Tested,1664560105998,tigers40
19,Tested,1664560095332,tigers40
20,Tested,1664560116209,tigers40
21,Tested,1664559513441,tigers40
22,Tested,1664559502447,tigers40
23,Tested,1664559491468,tigers40
24,Tested,1664607787693,vraptor75011
25,Tested,1664607767809,vraptor75011
26,Tested,1664607777327,vraptor75011
27,Tested,1664542950225,quantum8
28,Tested,1664629928730,quantum8
29,Tested,1664629976963,NicN11
30,Tested,1664607834825,vraptor75011
31,Tested,1664607823757,vraptor75011
32,Tested,1664630095425,vraptor75011
33,Tested,1664561611704,caoHenriques
34,Tested,1664561621269,caoHenriques
35,Tested,1664561601165,caoHenriques
36,Tested,1664630374926,vraptor75011
37,Tested,1664561590514,caoHenriques
38,Tested,1664582844364,quantum8
39,Tested,1664554599939,BigGremlin
40,Tested,1664555685346,BigGremlin
41,Tested,1664555125659,BigGremlin
42,Tested,1664641687297,vraptor75011
43,Tested,1664555225330,caoHenriques
44,Tested,1664641798258,vraptor75011
45,Tested,1664557783354,tiger4242
46,Tested,1664557794241,tiger4242
47,Tested,1664557806006,tiger4242
48,Tested,1664558143756,tiger4242
49,Tested,1664558156194,tiger4242
50,Tested,1664558165886,tiger4242
51,Tested,1664559481072,caoHenriques
52,Tested,1664559523690,caoHenriques
53,Tested,1664647512863,quantum8
54,Tested,1664648320822,caoHenriques
55,Tested,1664648357510,quantum8
56,Tested,1664561323259,caoHenriques
57,Tested,1664561384131,tiger4242
58,Tested,1664561397307,tiger4242
59,Tested,1664561408152,tiger4242
60,Tested,1664561534664,caoHenriques
61,Tested,1664561731150,tiger4242
