id,mainAsset,mainTimeFrame,parameters,ASSETS,ASSETS 1,TIMEFRAMES,TIMEFRAMES 1,INDICATORS_PROPERTIES,LAG_TIMESTEPS,ASSETS,LABELS,PERCENTAGE_OF_DATASET_FOR_TRAINING,FEATURES,EPOCHS,LSTM_NEURONS,CANDLES_CANDLES-VOLUMES_CANDLES_CANDLE_MAX,CANDLES_CANDLES-VOLUMES_CANDLES_CANDLE_MIN,CANDLES_CANDLES-VOLUMES_CANDLES_CANDLE_CLOSE,HOUR_OF_DAY,DAY_OF_MONTH,DAY_OF_WEEK,WEEK_OF_YEAR,MONTH_OF_YEAR,YEAR,CANDLES_CANDLES-VOLUMES_CANDLES_CANDLE_OPEN,CANDLES_CANDLES-VOLUMES_VOLUMES_VOLUME_BUY,MASTERS_RESISTANCES-AND-SUPPORTS_RESISTANCES_RESISTANCE_RESISTANCE1RATE,MASTERS_RESISTANCES-AND-SUPPORTS_RESISTANCES_RESISTANCE_RESISTANCE2RATE,MASTERS_RESISTANCES-AND-SUPPORTS_RESISTANCES_RESISTANCE_RESISTANCE3RATE,MASTERS_RESISTANCES-AND-SUPPORTS_RESISTANCES_RESISTANCE_RESISTANCE4RATE,MASTERS_RESISTANCES-AND-SUPPORTS_RESISTANCES_RESISTANCE_RESISTANCE5RATE,MASTERS_RESISTANCES-AND-SUPPORTS_SUPPORTS_SUPPORT_SUPPORT1RATE,MASTERS_RESISTANCES-AND-SUPPORTS_SUPPORTS_SUPPORT_SUPPORT2RATE,MASTERS_RESISTANCES-AND-SUPPORTS_SUPPORTS_SUPPORT_SUPPORT3RATE,MASTERS_RESISTANCES-AND-SUPPORTS_SUPPORTS_SUPPORT_SUPPORT4RATE,MASTERS_RESISTANCES-AND-SUPPORTS_SUPPORTS_SUPPORT_SUPPORT5RATE,BOLLINGER_BOLLINGER-BANDS_BOLLINGER-BANDS_BOLLINGERBAND_MOVINGAVERAGE,BOLLINGER_BOLLINGER-BANDS_BOLLINGER-BANDS_BOLLINGERBAND_DEVIATION,BOLLINGER_BOLLINGER-BANDS_PERCENTAGE-BANDWIDTH_PERCENTAGEBANDWIDTH_MOVINGAVERAGE,BOLLINGER_BOLLINGER-BANDS_PERCENTAGE-BANDWIDTH_PERCENTAGEBANDWIDTH_BANDWIDTH,parametersHash,status,assignedTo,assignedTimestamp,timeSeriesFileName,parametersFileName,filesTimestaps,parameters,forcastedCandle,begin,end,open,predictions,predictions 1,predictions 2,predictions 3,errorRMSE,percentageErrorRMSE,enlapsedSeconds,enlapsedMinutes,enlapsedHours,testedByInstance,testedByProfile
7860,BTC,01-hs,35,1,BTC,1,01-hs,12,15,1,3,80,12,1000,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,ON,OFF,ON,OFF,OFF,ON,ON,ON,OFF,OFF,ON,ON,OFF,OFF,5abdea5bc7c1a87e99cc30d6b2860bf1,Tested,prepheadrus / cloud1,1652429214844,time-series-BTC-01-hs-0000007860,parameters-0000007860,1,2022-05-13T08:06:54.845Z,3,1652425200000,1652428799999,30171.13,3,-772.3323,-2149.0774,-4323.0293,4396.233,-569.22,7499,124.98,2.08,prepheadrus / cloud1,prepheadrus
5366,BTC,01-hs,35,1,BTC,1,01-hs,10,10,1,3,80,10,1500,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,OFF,OFF,ON,OFF,OFF,ON,OFF,ON,OFF,OFF,ON,OFF,ON,OFF,27eef45c4a14d5f2f7c2eae9ac425df9,Tested,end-debug / PC home,1652156521220,time-series-BTC-01-hs-0000005366,parameters-0000005366,1,2022-05-10T04:22:01.221Z,3,1652151600000,1652155199999,30642.55,3,-603.9497,-6055.8296,-3882.9944,2483.757,-411.25,9157,152.62,2.54,end-debug / PC home,end-debug
4735,BTC,01-hs,35,1,BTC,1,01-hs,10,10,1,3,80,10,1500,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,ON,ON,OFF,OFF,OFF,ON,OFF,ON,OFF,OFF,OFF,OFF,OFF,ON,de0ae241e0b432c2c80ec197f7dafb2a,Tested,theblockchainarborist / M93P-2,1652019927330,time-series-BTC-01-hs-0000004735,parameters-0000004735,1,2022-05-08T14:25:27.331Z,3,1652014800000,1652018399999,34371.16,3,-1113.9185,7174.1553,4288.8657,2438.329,-218.9,8135,135.59,2.26,theblockchainarborist / M93P-2,theblockchainarborist
4236,BTC,01-hs,35,1,BTC,1,01-hs,9,10,1,3,80,9,1000,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,OFF,ON,OFF,OFF,OFF,ON,OFF,ON,OFF,OFF,OFF,ON,OFF,OFF,7a3387b8df5b61276cba5edda347292f,Tested,theblockchainarborist / Ryzen9.1,1651906562131,time-series-BTC-01-hs-0000004236,parameters-0000004236,1,2022-05-07T06:56:02.131Z,3,1651899600000,1651903199999,35898.95,3,-711.7126,-1701.2714,-5048.683,920.172,-129.29,3859,64.31,1.07,theblockchainarborist / Ryzen9.1,theblockchainarborist
4665,BTC,01-hs,35,1,BTC,1,01-hs,12,10,1,3,80,12,1500,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,ON,ON,ON,OFF,OFF,OFF,OFF,ON,OFF,OFF,OFF,ON,ON,ON,ca0c2c2c63509ebef6b4b83a1fea71cd,Tested,DJ05GaZ / PowerEdge-R720-6,1652003474050,time-series-BTC-01-hs-0000004665,parameters-0000004665,1,2022-05-08T09:51:14.050Z,3,1651993200000,1651996799999,34596.55,3,-1155.8276,3865.4924,-3475.6958,1367.19,-118.29,8335,138.92,2.32,DJ05GaZ / PowerEdge-R720-6,DJ05GaZ
4706,BTC,01-hs,35,1,BTC,1,01-hs,12,10,1,3,80,12,1500,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,ON,ON,OFF,OFF,OFF,ON,ON,OFF,OFF,OFF,ON,ON,ON,OFF,0082d65cd467fff795db9c55ca2df7b8,Tested,theblockchainarborist / Ryzen9.5,1652103028925,time-series-BTC-01-hs-0000004706,parameters-0000004706,1,2022-05-08T12:16:37.546Z,3,1652097600000,1652101199999,32858.81,3,-4924.9546,-35854.4,-26496.846,4779.855,-97.05,5880,98,1.63,theblockchainarborist / Ryzen9.5,theblockchainarborist
7618,BTC,01-hs,35,1,BTC,1,01-hs,13,15,1,3,80,13,1000,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,ON,ON,ON,OFF,OFF,ON,ON,OFF,OFF,OFF,ON,ON,ON,OFF,9e7976fb476c209347bb0564620f9bd6,Tested,tigers40 / tigers40,1652372437128,time-series-BTC-01-hs-0000007618,parameters-0000007618,1,2022-05-12T16:20:37.129Z,3,1652367600000,1652371199999,29021.27,3,-4228.241,23842.422,20395.664,3979.411,-94.12,4575,76.25,1.27,tigers40 / tigers40,tigers40
4572,BTC,01-hs,35,1,BTC,1,01-hs,12,10,1,3,80,12,1500,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,ON,ON,ON,OFF,OFF,ON,ON,ON,OFF,OFF,OFF,ON,OFF,OFF,477cdb519343ed848743f8c775018a7e,Tested,DJ05GaZ / Elite-Desk-1,1651980402044,time-series-BTC-01-hs-0000004572,parameters-0000004572,1,2022-05-08T03:26:42.044Z,3,1651975200000,1651978799999,34575.77,3,-6206.0957,-3433.4226,-7300.6426,2772.18,-44.67,5309,88.49,1.47,DJ05GaZ / Elite-Desk-1,DJ05GaZ
7770,BTC,01-hs,35,1,BTC,1,01-hs,11,15,1,3,80,11,1000,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,ON,ON,OFF,OFF,OFF,ON,OFF,ON,OFF,OFF,OFF,ON,ON,OFF,fb1e9a77ebe02510c16039b8ea6b910a,Tested,theblockchainarborist / M93P-1,1652409770580,time-series-BTC-01-hs-0000007770,parameters-0000007770,1,2022-05-13T02:42:50.580Z,3,1652400000000,1652403599999,29545.39,3,-8146.95,-3835.1956,-18118.06,3079.342,-37.8,8797,146.61,2.44,theblockchainarborist / M93P-1,theblockchainarborist
7752,BTC,01-hs,35,1,BTC,1,01-hs,10,15,1,3,80,10,1000,50,ON,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,ON,ON,ON,OFF,OFF,OFF,ON,ON,OFF,OFF,OFF,ON,OFF,OFF,OFF,bef5cd7eb350bbdd364f8c3efc73c38a,Tested,theblockchainarborist / M93P-2,1652405826264,time-series-BTC-01-hs-0000007752,parameters-0000007752,1,2022-05-13T01:37:06.265Z,3,1652400000000,1652403599999,29545.39,3,-10920.929,-14598.03,-11149.487,3502.413,-32.07,8944,149.07,2.48,theblockchainarborist / M93P-2,theblockchainarborist
