id,status,assignedTimestamp,testedByProfile
1,Tested,1665745592204,vraptor75011
2,Tested,1665848002177,vraptor75011
3,Tested,1665745501591,vraptor75011
4,Tested,1665745447853,vraptor75011
5,Tested,1665646398528,vraptor75011
6,Tested,1665646404746,vraptor75011
7,Tested,1665646430705,vraptor75011
8,Tested,1665651614899,DJ05GaZ
9,Tested,1665651626502,vraptor75011
10,Tested,1665651590185,vraptor75011
11,Tested,1665651609292,vraptor75011
12,Tested,1665653011026,DJ05GaZ
13,Tested,1665687452004,DJ05GaZ
14,Tested,1665731542562,vraptor75011
15,Tested,1665739594206,vraptor75011
16,Tested,1665731536491,vraptor75011
17,Tested,1665658033686,NicN11
18,Tested,1665658719522,NicN11
19,Tested,1665658760117,NicN11
20,Tested,1665684594929,NicN11
21,Tested,1665745627609,vraptor75011
22,Tested,1665745956568,vraptor75011
23,Tested,1665846475644,vraptor75011
24,Tested,1665684195130,NicN11
25,Tested,1665665528775,caoHenriques
26,Tested,1665752125334,vraptor75011
27,Tested,1665665538432,NicN11
28,Tested,1665665566066,caoHenriques
29,Tested,1665766868554,vraptor75011
30,Tested,1665665581057,caoHenriques
31,Tested,1665767291126,vraptor75011
32,Tested,1665767505251,vraptor75011
33,Tested,1665855109343,vraptor75011
34,Tested,1665773828028,vraptor75011
35,Tested,1665825046087,vraptor75011
36,Tested,1665824152227,vraptor75011
37,Tested,1665682690497,tiger4242
38,Tested,1665682753030,tiger4242
39,Tested,1665682969465,DJ05GaZ
40,Tested,1665682988855,tiger4242
41,Tested,1665683839228,caoHenriques
42,Tested,1665684933018,tigers40
43,Tested,1665685199305,tigers40
44,Tested,1665804957997,vraptor75011
45,Tested,1665776309983,vraptor75011
46,Tested,1665807051899,vraptor75011
47,Tested,1665806950942,theblockchainarborist
48,Tested,1665686711429,NicN11
49,Tested,1665807431570,theblockchainarborist
50,Tested,1665807662681,theblockchainarborist
51,Tested,1665807821305,theblockchainarborist
52,Tested,1665808270645,theblockchainarborist
53,Tested,1665815581645,vraptor75011
54,Tested,1665902130011,tigers40
55,Tested,1665687169217,NicN11
56,Tested,1665687363546,BastianMuc
57,Tested,1665690791687,NicN11
58,Tested,1665815594337,theblockchainarborist
59,Tested,1665815599819,theblockchainarborist
60,Tested,1665904459994,tiger4242
61,Tested,1665740099037,vraptor75011
62,Tested,1665774977258,vraptor75011
63,Tested,1665746067678,vraptor75011
64,Tested,1665805449472,vraptor75011
65,Tested,1665817224428,theblockchainarborist
66,Tested,1665821455689,theblockchainarborist
67,Tested,1665821575984,theblockchainarborist
68,Tested,1665821998443,theblockchainarborist
69,Tested,1665822227076,theblockchainarborist
70,Tested,1665822330141,vraptor75011
71,Tested,1665823569008,theblockchainarborist
72,Tested,1665823960735,theblockchainarborist
73,Tested,1665824401103,theblockchainarborist
74,Tested,1665899602193,vraptor75011
75,Tested,1665826326543,theblockchainarborist
76,Tested,1665846681738,vraptor75011
77,Tested,1665846479969,vraptor75011
78,Tested,1665827852370,theblockchainarborist
79,Tested,1665828433439,vraptor75011
80,Tested,1665828697865,theblockchainarborist
81,Tested,1665828764627,theblockchainarborist
82,Tested,1665830330492,vraptor75011
83,Tested,1665830663333,theblockchainarborist
84,Tested,1665831070782,theblockchainarborist
85,Tested,1665832137039,theblockchainarborist
86,Tested,1665833099822,theblockchainarborist
87,Tested,1665834300064,theblockchainarborist
88,Tested,1665834969251,theblockchainarborist
89,Tested,1665835521773,vraptor75011
90,Tested,1665835853736,theblockchainarborist
91,Tested,1665837426351,theblockchainarborist
92,Tested,1665838228046,theblockchainarborist
93,Tested,1665838597905,theblockchainarborist
94,Tested,1665839312709,theblockchainarborist
95,Tested,1665927340317,theblockchainarborist
96,Tested,1665928250865,NicN11
97,Tested,1665845404734,theblockchainarborist
98,Tested,1665875573090,vraptor75011
99,Tested,1665846567092,theblockchainarborist
100,Tested,1665846645221,vraptor75011
101,Tested,1665846656296,vraptor75011
102,Tested,1665847791476,theblockchainarborist
103,Tested,1665849511915,theblockchainarborist
104,Tested,1665850186131,theblockchainarborist
105,Tested,1665850975575,tiger4242
106,Tested,1665850996667,tiger4242
107,Tested,1665851369369,tiger4242
108,Tested,1665852607317,theblockchainarborist
109,Tested,1665852709083,theblockchainarborist
110,Tested,1665853160502,vraptor75011
111,Tested,1665853228987,vraptor75011
112,Tested,1665854601032,tiger4242
113,Tested,1665854995151,tiger4242
114,Tested,1665942354635,NicN11
115,Tested,1665857379980,theblockchainarborist
116,Tested,1665858197372,tiger4242
117,Tested,1665858573555,tiger4242
118,Tested,1665858845940,vraptor75011
119,Tested,1665859818350,theblockchainarborist
120,Tested,1665861757647,tiger4242
121,Tested,1665862275502,theblockchainarborist
122,Tested,1665864341993,vraptor75011
123,Tested,1665864687044,theblockchainarborist
124,Tested,1665865328642,tiger4242
125,Tested,1665865406801,tiger4242
126,Tested,1665865432324,tiger4242
127,Tested,1665865837184,caoHenriques
128,Tested,1665865914532,tiger4242
129,Tested,1665922041363,tigers40
130,Tested,1665866207024,caoHenriques
131,Tested,1665868942750,tiger4242
132,Tested,1665869010242,tiger4242
133,Tested,1665869049863,tiger4242
134,Tested,1665869279128,tigers40
135,Tested,1665869506051,BigGremlin
136,Tested,1665869843603,BigGremlin
137,Tested,1665870389363,caoHenriques
138,Tested,1665870420878,caoHenriques
139,Tested,1665870984428,caoHenriques
140,Tested,1665871450129,vraptor75011
